Datetime,100035541 (Neutor),101035541 (Neutor stadteinwärts),102035541 (Neutor stadtauswärts),100035541-status,101035541-status,102035541-status
2022-05-03 07:00,116,68,48,0,0,0
2022-05-03 07:15,197,134,63,0,0,0
2022-05-03 07:30,351,267,84,0,0,0
2022-05-03 07:45,476,287,189,0,0,0
2022-05-03 08:00,536,320,216,0,0,0
2022-05-03 08:15,323,210,113,0,0,0
2022-05-03 08:30,192,116,76,0,0,0
2022-05-03 08:45,273,158,115,0,0,0
2022-05-03 09:00,240,155,85,0,0,0
2022-05-03 09:15,148,88,60,0,0,0
2022-05-03 09:30,172,93,79,0,0,0
2022-05-03 09:45,428,195,233,0,0,0
2022-05-03 10:00,503,285,218,0,0,0
2022-05-03 10:15,141,66,75,0,0,0
2022-05-03 10:30,123,71,52,0,0,0
2022-05-03 10:45,143,74,69,0,0,0
2022-05-03 11:00,129,67,62,0,0,0
2022-05-03 11:15,151,89,62,0,0,0
2022-05-03 11:30,181,80,101,0,0,0
2022-05-03 11:45,470,208,262,0,0,0
2022-05-03 12:00,379,199,180,0,0,0
2022-05-03 12:15,217,113,104,0,0,0
2022-05-03 12:30,197,82,115,0,0,0
2022-05-03 12:45,225,103,122,0,0,0
2022-05-03 13:00,280,99,181,0,0,0
2022-05-03 13:15,266,92,174,0,0,0
2022-05-03 13:30,246,105,141,0,0,0
2022-05-03 13:45,545,275,270,0,0,0
2022-05-03 14:00,436,245,191,0,0,0
2022-05-03 14:15,240,127,113,0,0,0
2022-05-03 14:30,211,93,118,0,0,0
2022-05-03 14:45,246,121,125,0,0,0
2022-05-03 15:00,207,95,112,0,0,0
2022-05-03 15:15,229,121,108,0,0,0
2022-05-03 15:30,273,126,147,0,0,0
2022-05-03 15:45,572,271,301,0,0,0
2022-05-03 16:00,473,229,244,0,0,0
2022-05-03 16:15,318,157,161,0,0,0
2022-05-03 16:30,303,135,168,0,0,0
2022-05-03 16:45,355,157,198,0,0,0
2022-05-03 17:00,323,186,137,0,0,0
2022-05-03 17:15,345,183,162,0,0,0
2022-05-03 17:30,367,174,193,0,0,0
2022-05-03 17:45,591,282,309,0,0,0
2022-05-03 18:00,411,214,197,0,0,0
2022-05-03 18:15,329,131,198,0,0,0
2022-05-03 18:30,275,135,140,0,0,0
2022-05-03 18:45,289,122,167,0,0,0
2022-05-03 19:00,252,127,125,0,0,0
2022-05-03 19:15,302,167,135,0,0,0
2022-05-03 19:30,249,132,117,0,0,0
2022-05-03 19:45,298,117,181,0,0,0
2022-05-03 20:00,219,97,122,0,0,0
2022-05-03 20:15,209,104,105,0,0,0
2022-05-03 20:30,168,70,98,0,0,0
2022-05-03 20:45,161,77,84,0,0,0
2022-05-03 21:00,139,67,72,0,0,0
2022-05-03 21:15,136,45,91,0,0,0
2022-05-03 21:30,111,45,66,0,0,0
2022-05-03 21:45,147,42,105,0,0,0
2022-05-03 22:00,123,45,78,0,0,0
2022-05-03 22:15,108,39,69,0,0,0
2022-05-03 22:30,93,32,61,0,0,0
2022-05-03 22:45,112,43,69,0,0,0
2022-05-03 23:00,67,23,44,0,0,0
2022-05-03 23:15,82,28,54,0,0,0
2022-05-03 23:30,48,19,29,0,0,0
